key,string
locale,en-US

season.early_spring,,"Early Spring"
season.mid_spring,,"Mid Spring"
season.late_spring,,"Late Spring"

season.early_summer,,"Early Summer"
season.mid_summer,,"Mid Summer"
season.late_summer,,"Late Summer"

season.early_autumn,,"Early Autumn"
season.mid_autumn,,"Mid Autumn"
season.late_autumn,,"Late Autumn"

season.early_winter,,"Early Winter"
season.mid_winter,,"Mid Winter"
season.late_winter,,"Late Winter"

season.early_wet,,"Early Wet"
season.mid_wet,,"Mid Wet"
season.late_wet,,"Late Wet"

season.early_dry,,"Early Dry"
season.mid_dry,,"Mid Dry"
season.late_dry,,"Late Dry"
